Report sulle campagne
1 luglio 2026 - 24 luglio 2026
Azione di conversione,Stato della campagna,Campagna,Budget,Nome budget,Tipo di budget,Codice valuta,Stato,Motivi dello stato,Costo,Valore conv.,Valore conv./costo,Quota impr. rete di ricerca,Impressioni,CTR,Punteggio di ottimizzazione,Tipo di strategia di offerta,Clic,Tasso conv.,Conversioni,CPC medio,Costo/conv.,QI persa rete di ricerca (ranking),QI persa rete di ricerca (budget),Durata media del coinvolgimento per sessione (in secondi) (GA4),QI superiore sulla rete di ricerca
Niino Revenue,Attivata,PMAX | PIEMONTE | AMBULANZA | PURCHASE | APP,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"677,41",0, --,0, --,"86,89",Massimizza il valore di conversione,0, --,"5,00",0,0, --, --,0, --
Niino Sign-up,Attivata,PMAX | PIEMONTE | AMBULANZA | PURCHASE | APP,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"86,89",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,PMAX | LOMBARDIA | AMBULANZA | PURCHASE | APP,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"86,89",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Attivata,PMAX | LOMBARDIA | AMBULANZA | PURCHASE | APP,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"86,89",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,PMAX | LOMBARDIA | AMBULANZA | PURCHASE | APP,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"54,87",0, --,0, --,"86,89",Massimizza il valore di conversione,0, --,"2,68",0,0, --, --,0, --
Niino Sign-up,Attivata,PMAX | LOMBARDIA | AMBULANZA | PURCHASE | APP,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"86,89",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Purchase,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"72,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"72,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"54,31",0, --,0, --,"72,56",CPA target,0, --,"2,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"72,56",CPA target,0, --,"0,00",0,0, --, --,0, --
